,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15633283,Padovano,536,France,Male,35,8,0.00,2,1,0,64833.28,0
1,15658364,Laney,807,Germany,Female,40,1,134590.21,1,1,1,46253.65,0
2,15604551,Robb,732,France,Female,35,3,0.00,2,1,0,90876.95,0
3,15804211,Oluchukwu,719,France,Male,36,3,155423.17,1,1,1,199841.32,0
4,15732967,Cremonesi,731,France,Male,19,6,0.00,2,1,1,151581.79,0
5,15768201,Paterson,850,France,Female,39,2,148586.64,1,1,1,176791.27,0
6,15701962,Scott,590,Spain,Female,29,2,166930.76,2,1,0,122487.73,0
7,15646609,Chao,748,France,Male,33,1,142645.43,1,0,0,69132.66,0
8,15771270,North,635,France,Female,27,8,127471.56,1,1,1,152916.05,1
9,15632859,Chukwudi,444,France,Male,36,7,0.00,2,0,1,138743.86,0
10,15773242,Chukwuhaenye,621,France,Male,32,1,0.00,2,1,1,168779.47,0
11,15631392,Douglas,654,Germany,Male,43,9,84673.17,2,0,1,82081.35,0
12,15764021,Frolov,617,France,Male,34,1,61687.33,2,1,0,105965.25,0
13,15690958,Cantrell,767,Germany,Male,23,2,139542.82,1,0,1,28038.28,0
14,15662100,Hsu,850,Germany,Female,44,5,128605.32,1,0,1,171096.20,0
15,15789158,Nikitina,636,Germany,Male,49,6,113599.74,2,1,0,158887.09,1
16,15611786,Tsui,668,Spain,Female,69,9,0.00,1,0,1,134483.07,0
17,15744983,Burgmann,712,Spain,Male,47,1,139887.01,1,1,1,95719.73,0
18,15664504,Beede,418,France,Male,35,7,0.00,2,1,1,88878.15,0
19,15749004,Tsao,718,France,Female,31,0,118100.59,2,1,0,103165.15,0
20,15630661,Vasilyev,614,Spain,Female,25,10,75212.28,1,1,0,58965.04,0
21,15702601,Wyatt,680,Germany,Male,30,4,108300.27,2,0,1,44384.57,1
22,15583394,Zuyev,659,Germany,Male,39,8,106259.63,2,1,1,198103.32,0
23,15642996,Tsai,546,Germany,Female,42,9,86351.85,2,1,0,57380.13,0
24,15630106,Lo,496,Spain,Male,29,2,0.00,2,1,0,55389.59,0
25,15680666,Berry,579,Spain,Female,39,2,151963.26,2,1,0,158948.63,0
26,15774630,Peacock,601,Germany,Female,47,1,142802.02,1,1,1,57553.02,0
27,15681697,Rueda,508,France,Male,31,8,72541.48,1,1,0,129803.08,0
28,15695168,Bruce,625,France,Male,39,2,0.00,2,1,0,100403.05,0
29,15667265,Cavenagh,729,France,Male,39,4,121404.64,1,1,1,159618.17,0
30,15715519,McDavid,614,Spain,Male,36,5,0.00,2,1,0,130610.78,0
31,15810485,Sun,486,Germany,Male,37,1,101438.00,1,0,0,51364.56,0
32,15625929,Trevisan,762,France,Female,44,7,159316.64,1,0,0,24780.13,0
33,15633181,Swinton,792,France,Male,31,6,71269.89,2,0,1,125912.77,0
